date,location,type,distance_mi,duration_h,alt_median_ft,alt_gain_ft,temp_avg_f,temp_max_f,avg_hr,max_hr,avg_w,np_w,if_,tss,vi,ef,hr_at_120w,n_120,hr_at_150w,n_150,adj_hr120,decoupling_pct,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
2025-07-01,Park City,MTB,7.0,1.02,6763.0,3626.0,63.0,72.0,127.0,144.0,88.0,134.0,0.589,35.1,1.52,1.055,134.0,278,135.0,320,117.0,-14.5,53.0,0.0,88.0,12.0,0.0,0.0,1,2025-07-01 Park City MTB 7mi.fit
2025-07-02,Park City,MTB,18.0,3.01,8470.0,6327.0,59.0,79.0,164.0,180.0,131.0,180.0,0.781,183.0,1.37,1.096,169.0,315,170.0,1035,148.0,-6.0,68.0,6.0,1.0,26.0,14.0,59.0,1,2025-07-02 Park City MTB 18mi.fit
2025-07-05,Park City,MTB,19.0,3.43,9349.0,6261.0,72.0,90.0,157.0,184.0,83.0,170.0,0.717,175.5,2.05,1.085,165.0,200,169.0,424,142.0,-12.1,66.0,15.0,13.0,33.0,20.0,34.0,1,2025-07-05 Park City MTB 19mi.fit
2025-07-07,Unknown,MTB,0.0,0.79,6567.0,3064.0,73.0,75.0,135.0,173.0,135.0,164.0,0.691,37.6,1.21,1.215,122.0,554,134.0,483,106.0,-0.1,73.0,2.0,67.0,21.0,6.0,6.0,1,2025-07-07 Unknown MTB 0mi.fit
2025-07-12,Park City,MTB,10.0,1.8,6775.0,4063.0,77.0,88.0,128.0,178.0,81.0,163.0,0.688,78.8,2.01,1.269,129.0,217,132.0,274,113.0,4.4,58.0,9.0,72.0,6.0,6.0,16.0,1,2025-07-12 Park City MTB 10mi.fit
2025-07-14,Park City,MTB,7.0,1.01,6603.0,3835.0,50.0,55.0,154.0,169.0,131.0,178.0,0.752,56.9,1.36,1.156,157.0,130,160.0,248,141.0,-17.4,60.0,5.0,10.0,36.0,47.0,7.0,1,2025-07-14 Park City MTB 7mi.fit
2025-07-17,St George,MTB,16.0,1.0,4267.0,2495.0,72.0,77.0,162.0,179.0,216.0,233.0,0.983,93.0,1.08,1.437,168.0,67,166.0,166,158.0,-4.4,85.0,62.0,7.0,10.0,26.0,57.0,1,2025-07-17 St George MTB 16mi.fit
2025-07-21,Park City,MTB,23.0,4.59,8958.0,6301.0,79.0,104.0,139.0,178.0,54.0,173.0,0.731,231.2,3.2,1.246,150.0,205,152.0,247,128.0,-6.2,60.0,5.0,49.0,32.0,11.0,8.0,1,2025-07-21 Park City MTB 23mi.fit
2025-07-23,Memphis,Road,49.0,3.6,304.0,1215.0,97.0,104.0,151.0,177.0,,,,,,,,0,,0,,,,,11.0,54.0,24.0,11.0,0,2025-07-23 Memphis Road 49mi.fit
2025-07-27,Memphis,Road,26.0,1.73,301.0,699.0,93.0,97.0,151.0,169.0,,,,,,,,0,,0,,,,,7.0,73.0,19.0,1.0,0,2025-07-27 Memphis Road 26mi.fit
2025-07-31,Memphis,Road,24.0,1.6,289.0,742.0,97.0,108.0,159.0,180.0,,,,,,,,0,,0,,,,,6.0,27.0,30.0,38.0,0,2025-07-31 Memphis Road 24mi.fit
2025-08-01,Memphis,Road,39.0,2.64,287.0,886.0,81.0,86.0,145.0,169.0,,,,,,,,0,,0,,,,,20.0,68.0,11.0,1.0,0,2025-08-01 Memphis Road 39mi.fit
2025-08-02,Memphis,Road,21.0,1.56,286.0,618.0,81.0,88.0,123.0,142.0,,,,,,,,0,,0,,,,,99.0,1.0,0.0,0.0,0,2025-08-02 Memphis Road 21mi.fit
2025-08-03,Memphis,Road,35.0,2.21,295.0,918.0,84.0,90.0,143.0,175.0,,,,,,,,0,,0,,,,,44.0,41.0,10.0,5.0,0,2025-08-03 Memphis Road 35mi.fit
2025-08-06,Park City,MTB,11.0,1.46,6763.0,4140.0,99.0,102.0,143.0,175.0,101.0,163.0,0.688,68.6,1.61,1.14,160.0,189,164.0,315,143.0,-1.2,66.0,7.0,34.0,22.0,20.0,23.0,1,2025-08-06 Park City MTB 11mi.fit
2025-08-07,Park City,MTB,26.0,3.86,6944.0,5684.0,91.0,104.0,160.0,180.0,92.0,151.0,0.637,155.6,1.64,0.944,164.0,780,166.0,922,146.0,-13.3,70.0,13.0,3.0,28.0,36.0,33.0,1,2025-08-07 Park City MTB 26mi.fit
2025-08-09,Park City,MTB,32.0,5.96,8172.0,8280.0,68.0,88.0,156.0,178.0,107.0,170.0,0.719,305.0,1.59,1.089,160.0,744,163.0,1507,140.0,-7.7,71.0,13.0,8.0,36.0,30.0,26.0,1,2025-08-09 Park City MTB 32mi.fit
2025-08-11,Park City,MTB,14.0,2.26,7992.0,5442.0,70.0,81.0,150.0,174.0,127.0,184.0,0.777,134.4,1.45,1.224,153.0,160,155.0,525,133.0,5.9,69.0,16.0,19.0,46.0,28.0,7.0,1,2025-08-11 Park City MTB 14mi.fit
2025-08-12,Memphis,Road,25.0,1.84,322.0,703.0,73.0,82.0,132.0,153.0,,,,,,,,0,,0,,,,,80.0,20.0,0.0,0.0,0,2025-08-12 Memphis Road 25mi.fit
2025-08-13,Memphis,Road,35.0,2.14,304.0,1277.0,84.0,90.0,143.0,171.0,,,,,,,,0,,0,,,,,31.0,59.0,9.0,1.0,0,2025-08-13 Memphis Road 35mi.fit
2025-08-15,Memphis,Road,26.0,1.53,297.0,744.0,86.0,90.0,152.0,176.0,,,,,,,,0,,0,,,,,22.0,25.0,42.0,11.0,0,2025-08-15 Memphis Road 26mi.fit
2025-08-16,Memphis,Road,35.0,2.55,296.0,893.0,95.0,100.0,154.0,175.0,,,,,,,,0,,0,,,,,5.0,57.0,31.0,7.0,0,2025-08-16 Memphis Road 35mi.fit
2025-08-18,Memphis,Road,50.0,3.38,351.0,2135.0,100.0,106.0,160.0,179.0,,,,,,,,0,,0,,,,,2.0,21.0,52.0,24.0,0,2025-08-18 Memphis Road 50mi.fit
2025-08-20,Park City,MTB,29.0,5.37,7849.0,7287.0,99.0,117.0,157.0,175.0,109.0,168.0,0.709,254.4,1.54,1.072,162.0,848,164.0,1576,142.0,-16.0,67.0,6.0,6.0,36.0,33.0,25.0,1,2025-08-20 Park City MTB 29mi.fit
2025-08-22,Park City,MTB,24.0,3.86,7983.0,6037.0,70.0,86.0,155.0,175.0,,,,,,,,0,,0,,,,,11.0,34.0,31.0,23.0,0,2025-08-22 Park City MTB 24mi.fit
2025-08-25,Memphis,Road,29.0,2.1,290.0,793.0,81.0,88.0,119.0,133.0,,,,,,,,0,,0,,,,,100.0,0.0,0.0,0.0,0,2025-08-25 Memphis Road 29mi.fit
2025-08-27,Memphis,Road,23.0,1.5,292.0,683.0,82.0,86.0,135.0,153.0,,,,,,,,0,,0,,,,,71.0,29.0,0.0,0.0,0,2025-08-27 Memphis Road 23mi.fit
2025-08-30,Park City,MTB,76.0,12.1,8018.0,13200.0,70.0,97.0,155.0,176.0,111.0,169.0,0.711,611.3,1.52,1.093,156.0,2393,158.0,4078,136.0,-13.8,67.0,11.0,7.0,45.0,34.0,15.0,1,2025-08-30 Park City MTB 76mi.fit
2025-09-03,Park City,MTB,9.0,1.36,6616.0,4301.0,91.0,97.0,153.0,180.0,126.0,199.0,0.839,95.3,1.58,1.305,154.0,62,159.0,163,138.0,-1.2,72.0,22.0,19.0,34.0,25.0,21.0,1,2025-09-03 Park City MTB 9mi.fit
