date,garmin_ride_count,garmin_total_distance_m,garmin_total_timer_time_s,garmin_avg_speed_mps,garmin_max_speed_mps,garmin_avg_power_w,garmin_max_power_w,garmin_avg_heart_rate_bpm,garmin_max_heart_rate_bpm,garmin_total_ascent_m,garmin_total_descent_m,garmin_total_tss,garmin_total_work_j,garmin_threshold_power_w,garmin_intensity_factor_mean,garmin_total_training_effect,garmin_total_anaerobic_training_effect,active_energy_burned_sum,activity_summary_active_energy_burned,activity_summary_active_energy_burned_goal,activity_summary_apple_exercise_time,activity_summary_apple_exercise_time_goal,activity_summary_apple_stand_hours,activity_summary_apple_stand_hours_goal,apple_workout_count,apple_workout_duration_seconds,apple_workout_total_distance,apple_workout_total_energy_burned,basal_energy_burned_sum,body_fat_percentage_latest,body_mass_latest,distance_walking_running_sum,exercise_time_sum,flights_climbed_sum,heart_rate_avg,heart_rate_count,heart_rate_max,heart_rate_min,heart_rate_sum,hrv_sdnn_avg,hrv_sdnn_count,hrv_sdnn_max,hrv_sdnn_min,hrv_sdnn_sum,oxygen_saturation_avg,oxygen_saturation_count,oxygen_saturation_max,oxygen_saturation_min,oxygen_saturation_sum,respiratory_rate_avg,respiratory_rate_count,respiratory_rate_max,respiratory_rate_min,respiratory_rate_sum,resting_heart_rate_avg,resting_heart_rate_count,resting_heart_rate_max,resting_heart_rate_min,resting_heart_rate_sum,sleep_asleep_core_seconds,sleep_asleep_deep_seconds,sleep_asleep_rem_seconds,sleep_asleep_seconds,sleep_awake_seconds,sleep_in_bed_seconds,step_count_sum,vo2_max_avg,vo2_max_count,vo2_max_max,vo2_max_min,vo2_max_sum,walking_heart_rate_average_avg,walking_heart_rate_average_count,walking_heart_rate_average_max,walking_heart_rate_average_min,walking_heart_rate_average_sum,garmin_total_timer_hours,sleep_asleep_hours,sleep_in_bed_hours,garmin_total_tss_prev_day,garmin_total_tss_7d,garmin_total_timer_hours_prev_day,garmin_total_timer_hours_7d,sleep_asleep_hours_7d_avg,sleep_asleep_hours_vs_7d,hrv_sdnn_avg_7d_avg,hrv_sdnn_avg_vs_7d,resting_heart_rate_avg_7d_avg,resting_heart_rate_avg_vs_7d
2025-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,2015.9370000000024,967.098,1160.0,68.0,45.0,16.0,12.0,1,3669.0,0.0,0.0,2135.775000000008,,,8.011088190000004,127.0,22.0,111.58635058823528,2380.0,143.0,52.0,265575.5144,60.24103913043477,69.0,163.457,25.0627,4156.631699999999,,,,,,12.271341463414634,41.0,16.5,10.5,503.125,59.0,2.0,60.0,58.0,118.0,31680.0,6450.0,6960.0,45090.0,24000.0,83520.0,22617.0,,,,,,,,,,,0.0,12.525,23.2,,0.0,,0.0,,,,,,
2025-07-02,2.0,40252.81,14495.779,2.875,15.396,109.5,613.0,145.5,180.0,1110.0,1092.0,218.1,1735906.0,230.0,0.685,7.2,1.1,4971.383999999968,2006.13,1160.0,183.0,45.0,13.0,12.0,1,10827.0,0.0,0.0,1973.0480000000048,19.7966,196.432,13.64646251,348.0,211.0,161.06828289676426,5192.0,180.0,39.0,836266.5248,55.587095918367346,49.0,157.201,18.3315,2723.7677,,,,,,11.913461538461538,52.0,15.0,10.0,619.5,53.0,1.0,53.0,53.0,53.0,14850.0,2220.0,4920.0,21990.0,19020.0,0.0,29583.0,,,,,,93.0,1.0,93.0,93.0,93.0,4.026605277777778,6.108333333333333,0.0,0.0,218.1,0.0,4.026605277777778,,,,,,
2025-07-03,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,528.5639999999997,528.564,1160.0,13.0,45.0,14.0,12.0,0,0.0,0.0,0.0,1472.8839999999989,19.6394,194.337,6.466991449999999,13.0,,84.51347244582043,323.0,127.0,59.0,27297.8516,43.70888181818183,44.0,119.77,14.0515,1923.1908000000003,,,,,,14.81578947368421,19.0,21.0,12.5,281.5,63.0,1.0,63.0,63.0,63.0,4080.0,1530.0,600.0,6210.0,420.0,0.0,13835.0,,,,,,95.5,1.0,95.5,95.5,95.5,0.0,1.725,0.0,218.1,218.1,4.026605277777778,4.026605277777778,,,,,,
2025-07-04,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,1769.8569999999972,1414.9,1160.0,102.0,45.0,17.0,12.0,1,2694.0,0.0,0.0,3749.8609999999953,,,21.036385349000003,102.0,10.0,89.13333735725938,613.0,144.0,54.0,54638.7358,47.86398947368421,38.0,169.833,18.9416,1818.8316,,,,,,12.55,40.0,16.5,10.5,502.0,64.0,1.0,64.0,64.0,64.0,16560.0,1080.0,6120.0,23760.0,480.0,0.0,42120.0,32.8,1.0,32.8,32.8,32.8,,,,,,0.0,6.6,0.0,0.0,218.1,0.0,4.026605277777778,6.786111111111111,-0.18611111111111178,53.179005622327985,-5.315016148643778,58.333333333333336,5.666666666666664
2025-07-05,1.0,30751.24,12345.358,2.491,11.813,83.0,777.0,157.0,184.0,586.0,1200.0,175.5,1023120.0,237.0,0.717,4.8,2.2,5690.197999999961,1532.79,1160.0,195.0,45.0,8.0,12.0,2,24703.0,0.0,0.0,2638.5210000000006,,,13.074630855,362.0,143.0,155.71639208275312,5027.0,184.0,62.0,782786.303,17.294113333333335,6.0,25.7333,8.30518,103.76468,,,,,,,,,,,98.0,2.0,112.0,84.0,196.0,1050.0,,60.0,1110.0,2580.0,0.0,37822.0,,,,,,133.0,1.0,133.0,133.0,133.0,3.429266111111111,0.30833333333333335,0.0,0.0,393.6,0.0,7.455871388888889,6.739583333333334,-6.43125,51.85025158516704,-34.5561382518337,59.75,38.25
2025-07-06,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,1744.2490000000005,657.653,1160.0,8.0,45.0,9.0,12.0,0,0.0,0.0,0.0,830.2239999999998,,,13.652514939999996,8.0,3.0,78.18671283905968,553.0,150.0,55.0,43237.2522,55.09228333333334,6.0,85.8926,42.0725,330.55370000000005,,,,,,14.666666666666666,3.0,15.5,13.0,44.0,70.0,2.0,73.0,67.0,140.0,21600.0,3540.0,3570.0,28710.0,3840.0,65280.0,45982.0,,,,,,96.5,1.0,96.5,96.5,96.5,0.0,7.975,18.133333333333333,175.5,393.6,3.429266111111111,7.455871388888889,5.453333333333333,2.5216666666666665,44.939023934800296,10.153259398533045,67.4,2.5999999999999943
2025-07-07,1.0,0.0,2859.105,0.0,,135.0,289.0,135.0,173.0,0.0,0.0,37.6,386339.0,237.0,0.691,2.7,0.0,2814.297999999998,1456.39,1160.0,99.0,45.0,13.0,12.0,3,7930.0,0.0,0.0,3715.6959999999967,,,10.211553654,106.0,3.0,98.13335078534034,764.0,173.0,54.0,74973.88000000002,63.21580588235295,34.0,185.792,27.8758,2149.3374000000003,,,,,,12.891891891891891,37.0,16.5,9.0,477.0,87.0,2.0,114.0,60.0,174.0,14700.0,720.0,5100.0,20520.0,1200.0,0.0,21817.0,,,,,,,,,,,0.7941958333333333,5.7,0.0,0.0,431.2,0.0,8.250067222222222,5.873611111111111,-0.17361111111111072,46.63123383455581,16.584572047797145,67.83333333333333,19.16666666666667
2025-07-08,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,434.184,433.699,1160.0,14.0,45.0,13.0,12.0,0,0.0,0.0,0.0,3936.5699999999993,19.2721,194.668,3.682325480000001,14.0,14.0,67.2728786885246,244.0,111.0,54.0,16414.582400000003,54.896948717948725,39.0,174.701,23.0379,2140.981,,,,,,14.32051282051282,39.0,19.0,12.5,558.5,55.0,1.0,55.0,55.0,55.0,11550.0,3060.0,1290.0,15900.0,14040.0,0.0,8058.0,,,,,,82.0,1.0,82.0,82.0,82.0,0.0,4.416666666666667,0.0,37.6,431.2,0.7941958333333333,8.250067222222222,5.848809523809524,-1.432142857142857,49.00045841281254,5.896490305136183,70.57142857142857,-15.57142857142857
2025-07-09,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,336.05500000000006,335.663,1160.0,6.0,45.0,9.0,12.0,0,0.0,0.0,0.0,1943.591999999999,,,3.1333988999999995,6.0,13.0,66.47036489028214,319.0,121.0,50.0,21204.046400000003,64.03382380952381,42.0,125.22,36.2771,2689.4206,,,,,,12.5,48.0,14.5,9.5,600.0,56.5,2.0,62.0,51.0,113.0,20700.0,3630.0,8490.0,32820.0,1980.0,0.0,6875.0,,,,,,,,,,,0.0,9.116666666666667,0.0,0.0,213.1,0.0,4.223461944444445,4.690476190476191,4.4261904761904765,48.237016925314535,15.796806884209275,70.0,-13.5
2025-07-10,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,3533.5439999999926,1867.41,1160.0,141.0,45.0,16.0,12.0,1,7156.0,0.0,0.0,2210.6040000000007,,194.668,3.911253530000001,141.0,16.0,96.52872904676258,1112.0,167.0,52.0,107339.9467,45.57845294117647,51.0,125.788,16.8193,2324.5011,,,,,,12.645833333333334,42.0,18.5,10.0,531.125,60.5,2.0,65.0,56.0,121.0,27360.0,7830.0,11760.0,46950.0,6480.0,42360.0,14296.0,,,,,,108.5,1.0,108.5,108.5,108.5,0.0,13.041666666666666,11.766666666666667,0.0,213.1,0.0,4.223461944444445,5.120238095238095,7.921428571428571,49.443692338336895,-3.8652393971604226,70.5,-10.0
