athlete,date,location,type,distance_mi,duration_h,moving_h,alt_median_ft,alt_gain_ft,temp_avg_f,avg_hr,max_hr,hr_p995,avg_w,np_w,kj,vi,ef,device_ftp,p5s,p1m,p5m,p10m,p20m,p60m,vo2_est,hr_at_120w,n_120,hr_at_150w,n_150,decoupling_pct,hrr60,hrr_from,hrr_n,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
JA,2025-07-01,Park City,MTB,7.0,1.02,0.65,6763.0,3626.0,63.0,127.0,144.0,143.0,88.0,134.0,322.0,1.52,1.055,227.0,358.0,240.0,159.0,130.0,115.0,88.0,26.0,134.0,278,135.0,320,-14.5,,,0,53.0,0.0,88.0,12.0,0.0,0.0,1,2025-07-01 Park City MTB 7mi.fit
JA,2025-07-02,Park City,MTB,18.0,3.01,2.09,8470.0,6327.0,59.0,164.0,180.0,178.0,131.0,180.0,1414.0,1.37,1.096,230.0,487.0,330.0,233.0,219.0,207.0,187.0,34.8,169.0,315,170.0,1035,-6.0,20.0,173.0,16,68.0,6.0,1.0,26.0,14.0,59.0,1,2025-07-02 Park City MTB 18mi.fit
JA,2025-07-05,Park City,MTB,19.0,3.43,1.49,9349.0,6261.0,72.0,157.0,184.0,181.0,83.0,170.0,1023.0,2.05,1.085,237.0,583.0,312.0,234.0,200.0,168.0,113.0,34.9,165.0,200,169.0,424,-12.1,33.0,161.0,17,66.0,15.0,13.0,33.0,20.0,34.0,1,2025-07-05 Park City MTB 19mi.fit
JA,2025-07-07,Unknown,MTB,0.0,0.79,0.79,6567.0,3064.0,73.0,135.0,173.0,173.0,135.0,164.0,386.0,1.21,1.215,237.0,269.0,256.0,242.0,220.0,184.0,,35.8,122.0,554,134.0,483,-0.1,,,0,73.0,2.0,67.0,21.0,6.0,6.0,1,2025-07-07 Unknown MTB 0mi.fit
JA,2025-07-12,Park City,MTB,10.0,1.8,0.84,6775.0,4063.0,77.0,128.0,178.0,176.0,81.0,163.0,488.0,2.01,1.269,237.0,536.0,331.0,252.0,233.0,168.0,88.0,37.0,129.0,217,132.0,274,4.4,24.0,169.0,3,58.0,9.0,72.0,6.0,6.0,16.0,1,2025-07-12 Park City MTB 10mi.fit
JA,2025-07-14,Park City,MTB,7.0,1.01,0.74,6603.0,3835.0,50.0,154.0,169.0,168.0,131.0,178.0,477.0,1.36,1.156,237.0,422.0,281.0,209.0,194.0,177.0,131.0,31.9,157.0,130,160.0,248,-17.4,26.0,156.0,4,60.0,5.0,10.0,36.0,47.0,7.0,1,2025-07-14 Park City MTB 7mi.fit
JA,2025-07-17,St George,MTB,16.0,1.0,0.92,4267.0,2495.0,72.0,162.0,179.0,178.0,216.0,233.0,754.0,1.08,1.437,237.0,642.0,305.0,249.0,244.0,227.0,208.0,36.7,168.0,67,166.0,166,-4.4,,,0,85.0,62.0,7.0,10.0,26.0,57.0,1,2025-07-17 St George MTB 16mi.fit
JA,2025-07-21,Park City,MTB,23.0,4.59,1.19,8958.0,6301.0,79.0,139.0,178.0,176.0,54.0,173.0,835.0,3.2,1.246,237.0,768.0,361.0,273.0,194.0,131.0,89.0,39.6,150.0,205,152.0,247,-6.2,36.0,161.0,16,60.0,5.0,49.0,32.0,11.0,8.0,1,2025-07-21 Park City MTB 23mi.fit
JA,2025-07-23,Memphis,Road,49.0,3.6,0.0,304.0,1215.0,97.0,151.0,177.0,175.0,,,,,,,,,,,,,,,0,,0,,,,0,,,11.0,54.0,24.0,11.0,0,2025-07-23 Memphis Road 49mi.fit
JA,2025-07-27,Memphis,Road,26.0,1.73,0.0,301.0,699.0,93.0,151.0,169.0,168.0,,,,,,,,,,,,,,,0,,0,,,,0,,,7.0,73.0,19.0,1.0,0,2025-07-27 Memphis Road 26mi.fit
JA,2025-07-31,Memphis,Road,24.0,1.6,0.0,289.0,742.0,97.0,159.0,180.0,178.0,,,,,,,,,,,,,,,0,,0,,,,0,,,6.0,27.0,30.0,38.0,0,2025-07-31 Memphis Road 24mi.fit
JA,2025-08-01,Memphis,Road,39.0,2.64,0.0,287.0,886.0,81.0,145.0,169.0,167.0,,,,,,,,,,,,,,,0,,0,,,,0,,,20.0,68.0,11.0,1.0,0,2025-08-01 Memphis Road 39mi.fit
JA,2025-08-02,Memphis,Road,21.0,1.56,0.0,286.0,618.0,81.0,123.0,142.0,140.0,,,,,,,,,,,,,,,0,,0,,,,0,,,99.0,1.0,0.0,0.0,0,2025-08-02 Memphis Road 21mi.fit
JA,2025-08-03,Memphis,Road,35.0,2.21,0.0,295.0,918.0,84.0,143.0,175.0,172.0,,,,,,,,,,,,,,,0,,0,,,,0,,,44.0,41.0,10.0,5.0,0,2025-08-03 Memphis Road 35mi.fit
JA,2025-08-06,Park City,MTB,11.0,1.46,0.98,6763.0,4140.0,99.0,143.0,175.0,175.0,101.0,163.0,527.0,1.61,1.14,237.0,553.0,273.0,223.0,190.0,160.0,122.0,33.6,160.0,189,164.0,315,-1.2,19.0,166.0,5,66.0,7.0,34.0,22.0,20.0,23.0,1,2025-08-06 Park City MTB 11mi.fit
JA,2025-08-07,Park City,MTB,26.0,3.86,2.3,6944.0,5684.0,91.0,160.0,180.0,179.0,92.0,151.0,1267.0,1.64,0.944,237.0,584.0,280.0,220.0,201.0,180.0,145.0,33.2,164.0,780,166.0,922,-13.3,24.0,167.0,24,70.0,13.0,3.0,28.0,36.0,33.0,1,2025-08-07 Park City MTB 26mi.fit
JA,2025-08-09,Park City,MTB,32.0,5.96,3.53,8172.0,8280.0,68.0,156.0,178.0,176.0,107.0,170.0,2272.0,1.59,1.089,237.0,722.0,288.0,210.0,191.0,184.0,166.0,32.1,160.0,744,163.0,1507,-7.7,38.0,171.0,31,71.0,13.0,8.0,36.0,30.0,26.0,1,2025-08-09 Park City MTB 32mi.fit
JA,2025-08-11,Park City,MTB,14.0,2.26,1.46,7992.0,5442.0,70.0,150.0,174.0,172.0,127.0,184.0,1020.0,1.45,1.224,237.0,737.0,286.0,242.0,207.0,200.0,178.0,35.8,153.0,160,155.0,525,5.9,41.0,168.0,10,69.0,16.0,19.0,46.0,28.0,7.0,1,2025-08-11 Park City MTB 14mi.fit
JA,2025-08-12,Memphis,Road,25.0,1.84,0.0,322.0,703.0,73.0,132.0,153.0,150.0,,,,,,,,,,,,,,,0,,0,,,,0,,,80.0,20.0,0.0,0.0,0,2025-08-12 Memphis Road 25mi.fit
JA,2025-08-13,Memphis,Road,35.0,2.14,0.0,304.0,1277.0,84.0,143.0,171.0,167.0,,,,,,,,,,,,,,,0,,0,,,,0,,,31.0,59.0,9.0,1.0,0,2025-08-13 Memphis Road 35mi.fit
JA,2025-08-15,Memphis,Road,26.0,1.53,0.0,297.0,744.0,86.0,152.0,176.0,174.0,,,,,,,,,,,,,,,0,,0,,,,0,,,22.0,25.0,42.0,11.0,0,2025-08-15 Memphis Road 26mi.fit
JA,2025-08-16,Memphis,Road,35.0,2.55,0.0,296.0,893.0,95.0,154.0,175.0,174.0,,,,,,,,,,,,,,,0,,0,,,,0,,,5.0,57.0,31.0,7.0,0,2025-08-16 Memphis Road 35mi.fit
JA,2025-08-18,Memphis,Road,50.0,3.38,0.0,351.0,2135.0,100.0,160.0,179.0,177.0,,,,,,,,,,,,,,,0,,0,,,,0,,,2.0,21.0,52.0,24.0,0,2025-08-18 Memphis Road 50mi.fit
JA,2025-08-20,Park City,MTB,29.0,5.37,3.21,7849.0,7287.0,99.0,157.0,175.0,173.0,109.0,168.0,1991.0,1.54,1.072,237.0,565.0,298.0,230.0,212.0,184.0,167.0,34.4,162.0,848,164.0,1576,-16.0,21.0,170.0,28,67.0,6.0,6.0,36.0,33.0,25.0,1,2025-08-20 Park City MTB 29mi.fit
JA,2025-08-22,Park City,MTB,24.0,3.86,0.0,7983.0,6037.0,70.0,155.0,175.0,172.0,,,,,,,,,,,,,,,0,,0,,39.0,162.0,6,,,11.0,34.0,31.0,23.0,0,2025-08-22 Park City MTB 24mi.fit
JA,2025-08-25,Memphis,Road,29.0,2.1,0.0,290.0,793.0,81.0,119.0,133.0,132.0,,,,,,,,,,,,,,,0,,0,,,,0,,,100.0,0.0,0.0,0.0,0,2025-08-25 Memphis Road 29mi.fit
JA,2025-08-27,Memphis,Road,23.0,1.5,0.0,292.0,683.0,82.0,135.0,153.0,152.0,,,,,,,,,,,,,,,0,,0,,,,0,,,71.0,29.0,0.0,0.0,0,2025-08-27 Memphis Road 23mi.fit
JA,2025-08-30,Park City,MTB,76.0,12.1,7.88,8018.0,13200.0,70.0,155.0,176.0,173.0,111.0,169.0,4819.0,1.52,1.093,237.0,859.0,333.0,249.0,228.0,204.0,182.0,36.7,156.0,2393,158.0,4078,-13.8,26.0,170.0,34,67.0,11.0,7.0,45.0,34.0,15.0,1,2025-08-30 Park City MTB 76mi.fit
JA,2025-09-03,Park City,MTB,9.0,1.36,0.83,6616.0,4301.0,91.0,153.0,180.0,179.0,126.0,199.0,619.0,1.58,1.305,237.0,500.0,312.0,254.0,214.0,160.0,139.0,37.3,154.0,62,159.0,163,-1.2,28.0,158.0,6,72.0,22.0,19.0,34.0,25.0,21.0,1,2025-09-03 Park City MTB 9mi.fit
